Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login_Logout,Chrome 72.0.3626.119,,2019-03-06 13:43:01,2019-03-06 13:43:37,36.261s,PASSED
,,,,,,
Test Cases/Base/Login,Chrome 72.0.3626.119,,2019-03-06 13:43:01,2019-03-06 13:43:31,29.508s,PASSED
"openBrowser("""")",Chrome 72.0.3626.119,,2019-03-06 13:43:02,2019-03-06 13:43:12,9.356s,PASSED
"navigateToUrl(""http://192.168.0.171:4000/login"")",Chrome 72.0.3626.119,INVOKE REACTAPP ,2019-03-06 13:43:12,2019-03-06 13:43:15,3.174s,PASSED
maximizeWindow(),Chrome 72.0.3626.119,,2019-03-06 13:43:15,2019-03-06 13:43:17,2.191s,PASSED
"setText(findTestObject(""Page_React App/input_Submit_form-control""), ""asharajendran89@gmail.com"")",Chrome 72.0.3626.119,ENTER EMAIL ADDRESS,2019-03-06 13:43:17,2019-03-06 13:43:22,5.035s,PASSED
"setEncryptedText(findTestObject(""Page_React App/input_Submit_form-control_1""), ""Qs8BrKvHtI8="")",Chrome 72.0.3626.119,ENTER PASSWORD,2019-03-06 13:43:22,2019-03-06 13:43:25,3.337s,PASSED
"click(findTestObject(""Object Repository/Page_React App/button_Submit""))",Chrome 72.0.3626.119,CLICK ON LOGIN,2019-03-06 13:43:25,2019-03-06 13:43:28,2.194s,PASSED
"verifyElementPresent(findTestObject(""Page_React App/label_Profile name""), 30, STOP_ON_FAILURE)",Chrome 72.0.3626.119,VERIFY SUCESSFULL LOGIN,2019-03-06 13:43:28,2019-03-06 13:43:29,1.122s,PASSED
,,,,,,
Test Cases/Base/Logout,Chrome 72.0.3626.119,,2019-03-06 13:43:31,2019-03-06 13:43:37,6.386s,PASSED
"click(findTestObject(""Object Repository/Page_React App/button_Logout""))",Chrome 72.0.3626.119,TO LOGOUT FROM THE REACT APP,2019-03-06 13:43:31,2019-03-06 13:43:33,2.138s,PASSED
closeBrowser(),Chrome 72.0.3626.119,TO CLOSE BROWSER,2019-03-06 13:43:33,2019-03-06 13:43:35,1.779s,PASSED
