Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Signup_Login_Logout,Chrome 72.0.3626.119,,2019-03-06 14:59:58,2019-03-06 15:00:13,15.581s,PASSED
,,,,,,
Test Cases/LaunchApp,Chrome 72.0.3626.119,,2019-03-06 14:59:58,2019-03-06 15:00:07,9.382s,PASSED
"openBrowser("""")",Chrome 72.0.3626.119,,2019-03-06 14:59:59,2019-03-06 15:00:03,4.095s,PASSED
"navigateToUrl(""http://192.168.0.171:4000/login"")",Chrome 72.0.3626.119,INVOKE REACTAPP ,2019-03-06 15:00:03,2019-03-06 15:00:04,1.314s,PASSED
maximizeWindow(),Chrome 72.0.3626.119,,2019-03-06 15:00:04,2019-03-06 15:00:05,1.185s,PASSED
,,,,,,
Test Cases/Signup,Chrome 72.0.3626.119,,2019-03-06 15:00:07,2019-03-06 15:00:12,5.225s,PASSED
"click(findTestObject(""Page_login React App/Page_signup React App/button_Signup""))",Chrome 72.0.3626.119,CLICK ON SIGNUP BUTTON,2019-03-06 15:00:08,2019-03-06 15:00:08,0.249s,PASSED
"setText(findTestObject(""Page_login React App/Page_signup React App/input__form-control""), ""Asha"")",Chrome 72.0.3626.119,ENTER FIRST NAME,2019-03-06 15:00:08,2019-03-06 15:00:08,0.264s,PASSED
"setText(findTestObject(""Page_login React App/Page_signup React App/input__form-control_1""), ""Rajendran"")",Chrome 72.0.3626.119,ENTER LAST NAME,2019-03-06 15:00:08,2019-03-06 15:00:09,0.448s,PASSED
"setText(findTestObject(""Page_login React App/Page_signup React App/input__form-control_11""), ""asharajendran8@gmail.com"")",Chrome 72.0.3626.119,ENTER EMAIL ADDRESS,2019-03-06 15:00:09,2019-03-06 15:00:09,0.707s,PASSED
"setEncryptedText(findTestObject(""Page_login React App/Page_signup React App/input__form-control_14""), ""Qs8BrKvHtI8="")",Chrome 72.0.3626.119,ENTER PASSWORD,2019-03-06 15:00:09,2019-03-06 15:00:10,0.324s,PASSED
"setText(findTestObject(""Page_login React App/Page_signup React App/input__form-control_16""), ""08123498014"")",Chrome 72.0.3626.119,ENTER PHONE NUMBER,2019-03-06 15:00:10,2019-03-06 15:00:10,0.453s,PASSED
"click(findTestObject(""Page_login React App/Page_signup React App/button_Submit""))",Chrome 72.0.3626.119,CLICK ON SUBMIT ,2019-03-06 15:00:10,2019-03-06 15:00:10,0.166s,PASSED
"verifyTextPresent(""Signup Successfully Done"", false)",Chrome 72.0.3626.119,VERIFY SUCESSFULL SINGUP,2019-03-06 15:00:10,2019-03-06 15:00:10,0.150s,PASSED
